5 Minutes,Lane 1 Flow (Veh/5 Minutes),# Lane Points,% Observed
1/1/2016 0:0,48,1,100
1/1/2016 0:15,48,1,100
1/1/2016 0:30,236,1,100
1/1/2016 0:45,344,1,100
1/1/2016 1:0,496,1,100
1/1/2016 1:15,560,1,100
1/1/2016 1:30,508,1,100
1/1/2016 1:45,420,1,100
1/1/2016 2:0,296,1,100
1/1/2016 2:15,276,1,100
1/1/2016 2:30,220,1,100
1/1/2016 2:45,188,1,100
1/1/2016 3:0,144,1,100
1/1/2016 3:15,68,1,100
1/1/2016 3:30,124,1,100
1/1/2016 3:45,120,1,100
1/1/2016 4:0,104,1,100
1/1/2016 4:15,84,1,100
1/1/2016 4:30,56,1,100
1/1/2016 4:45,48,1,100
1/1/2016 5:0,56,1,100
1/1/2016 5:15,36,1,100
1/1/2016 5:30,72,1,100
1/1/2016 5:45,80,1,100
1/1/2016 6:0,104,1,100
1/1/2016 6:15,92,1,100
1/1/2016 6:30,92,1,100
1/1/2016 6:45,100,1,100
1/1/2016 7:0,132,1,100
1/1/2016 7:15,120,1,100
1/1/2016 7:30,132,1,100
1/1/2016 7:45,172,1,100
1/1/2016 8:0,144,1,100
1/1/2016 8:15,140,1,100
1/1/2016 8:30,164,1,100
1/1/2016 8:45,168,1,100
1/1/2016 9:0,112,1,100
1/1/2016 9:15,140,1,100
1/1/2016 9:30,80,1,100
1/1/2016 9:45,108,1,100
1/1/2016 10:0,96,1,100
1/1/2016 10:15,88,1,100
1/1/2016 10:30,116,1,100
1/1/2016 10:45,148,1,100
1/1/2016 11:0,112,1,100
1/1/2016 11:15,156,1,100
1/1/2016 11:30,152,1,100
1/1/2016 11:45,224,1,100
1/1/2016 12:0,220,1,100
1/1/2016 12:15,204,1,100
1/1/2016 12:30,252,1,100
1/1/2016 12:45,340,1,100
1/1/2016 13:0,324,1,100
1/1/2016 13:15,368,1,100
1/1/2016 13:30,348,1,100
1/1/2016 13:45,564,1,100
1/1/2016 14:0,448,1,100
1/1/2016 14:15,504,1,100
1/1/2016 14:30,492,1,100
1/1/2016 14:45,432,1,100
1/1/2016 15:0,300,1,100
1/1/2016 15:15,144,1,100
1/1/2016 15:30,168,1,100
1/1/2016 15:45,116,1,100
1/1/2016 16:0,112,1,100
1/1/2016 16:15,116,1,100
1/1/2016 16:30,172,1,100
1/1/2016 16:45,192,1,100
1/1/2016 17:0,292,1,100
1/1/2016 17:15,220,1,100
1/1/2016 17:30,296,1,100
1/1/2016 17:45,304,1,100
1/1/2016 18:0,292,1,100
1/1/2016 18:15,316,1,100
1/1/2016 18:30,408,1,100
1/1/2016 18:45,424,1,100
1/1/2016 19:0,344,1,100
1/1/2016 19:15,388,1,100
1/1/2016 19:30,396,1,100
1/1/2016 19:45,364,1,100
1/1/2016 20:0,420,1,100
1/1/2016 20:15,480,1,100
1/1/2016 20:30,484,1,100
1/1/2016 20:45,288,1,100
1/1/2016 21:0,276,1,100
1/1/2016 21:15,308,1,100
1/1/2016 21:30,356,1,100
1/1/2016 21:45,296,1,100
1/1/2016 22:0,304,1,100
1/1/2016 22:15,260,1,100
1/1/2016 22:30,332,1,100
1/1/2016 22:45,272,1,100
1/1/2016 23:0,168,1,100
1/1/2016 23:15,120,1,100
1/1/2016 23:30,144,1,100
1/1/2016 23:45,132,1,100
2/1/2016 0:0,168,1,100
2/1/2016 0:15,92,1,100
2/1/2016 0:30,92,1,100
2/1/2016 0:45,128,1,100
2/1/2016 1:0,160,1,100
2/1/2016 1:15,60,1,100
2/1/2016 1:30,72,1,100
2/1/2016 1:45,32,1,100
2/1/2016 2:0,48,1,100
2/1/2016 2:15,40,1,100
2/1/2016 2:30,36,1,100
2/1/2016 2:45,36,1,100
2/1/2016 3:0,20,1,100
2/1/2016 3:15,64,1,100
2/1/2016 3:30,76,1,100
2/1/2016 3:45,24,1,100
2/1/2016 4:0,68,1,100
2/1/2016 4:15,40,1,100
2/1/2016 4:30,28,1,100
2/1/2016 4:45,16,1,100
2/1/2016 5:0,28,1,100
2/1/2016 5:15,32,1,100
2/1/2016 5:30,32,1,100
2/1/2016 5:45,32,1,100
2/1/2016 6:0,80,1,100
2/1/2016 6:15,52,1,100
2/1/2016 6:30,36,1,100
2/1/2016 6:45,72,1,100
2/1/2016 7:0,96,1,100
2/1/2016 7:15,108,1,100
2/1/2016 7:30,96,1,100
2/1/2016 7:45,192,1,100
2/1/2016 8:0,212,1,100
2/1/2016 8:15,156,1,100
2/1/2016 8:30,136,1,100
2/1/2016 8:45,176,1,100
2/1/2016 9:0,244,1,100
2/1/2016 9:15,184,1,100
2/1/2016 9:30,240,1,100
2/1/2016 9:45,288,1,100
2/1/2016 10:0,384,1,100
2/1/2016 10:15,376,1,100
2/1/2016 10:30,388,1,100
2/1/2016 10:45,488,1,100
2/1/2016 11:0,464,1,100
2/1/2016 11:15,484,1,100
2/1/2016 11:30,568,1,100
2/1/2016 11:45,656,1,100
2/1/2016 12:0,668,1,100
2/1/2016 12:15,604,1,100
2/1/2016 12:30,672,1,100
2/1/2016 12:45,608,1,100
2/1/2016 13:0,736,1,100
2/1/2016 13:15,736,1,100
2/1/2016 13:30,580,1,100
2/1/2016 13:45,556,1,100
2/1/2016 14:0,536,1,100
2/1/2016 14:15,660,1,100
2/1/2016 14:30,568,1,100
2/1/2016 14:45,500,1,100
2/1/2016 15:0,456,1,100
2/1/2016 15:15,416,1,100
2/1/2016 15:30,380,1,100
2/1/2016 15:45,412,1,100
2/1/2016 16:0,468,1,100
2/1/2016 16:15,364,1,100
2/1/2016 16:30,460,1,100
2/1/2016 16:45,492,1,100
2/1/2016 17:0,448,1,100
2/1/2016 17:15,528,1,100
2/1/2016 17:30,452,1,100
2/1/2016 17:45,644,1,100
2/1/2016 18:0,644,1,100
2/1/2016 18:15,464,1,100
2/1/2016 18:30,572,1,100
2/1/2016 18:45,444,1,100
2/1/2016 19:0,540,1,100
2/1/2016 19:15,560,1,100
2/1/2016 19:30,600,1,100
2/1/2016 19:45,672,1,100
2/1/2016 20:0,604,1,100
2/1/2016 20:15,656,1,100
2/1/2016 20:30,788,1,100
2/1/2016 20:45,468,1,100
2/1/2016 21:0,568,1,100
2/1/2016 21:15,476,1,100
2/1/2016 21:30,460,1,100
2/1/2016 21:45,536,1,100
2/1/2016 22:0,440,1,100
2/1/2016 22:15,404,1,100
2/1/2016 22:30,488,1,100
2/1/2016 22:45,344,1,100
2/1/2016 23:0,304,1,100
2/1/2016 23:15,180,1,100
2/1/2016 23:30,196,1,100
2/1/2016 23:45,184,1,100
3/1/2016 0:0,176,1,100
3/1/2016 0:15,228,1,100
3/1/2016 0:30,280,1,100
3/1/2016 0:45,328,1,100
3/1/2016 1:0,240,1,100
3/1/2016 1:15,168,1,100
3/1/2016 1:30,92,1,100
3/1/2016 1:45,84,1,100
3/1/2016 2:0,120,1,100
3/1/2016 2:15,76,1,100
3/1/2016 2:30,40,1,100
3/1/2016 2:45,72,1,100
3/1/2016 3:0,80,1,100
3/1/2016 3:15,84,1,100
3/1/2016 3:30,48,1,100
3/1/2016 3:45,32,1,100
3/1/2016 4:0,68,1,100
3/1/2016 4:15,48,1,100
3/1/2016 4:30,40,1,100
3/1/2016 4:45,80,1,100
3/1/2016 5:0,52,1,100
3/1/2016 5:15,44,1,100
3/1/2016 5:30,84,1,100
3/1/2016 5:45,72,1,100
3/1/2016 6:0,72,1,100
3/1/2016 6:15,60,1,100
3/1/2016 6:30,40,1,100
3/1/2016 6:45,56,1,100
3/1/2016 7:0,60,1,100
3/1/2016 7:15,100,1,100
3/1/2016 7:30,60,1,100
3/1/2016 7:45,168,1,100
3/1/2016 8:0,92,1,100
3/1/2016 8:15,96,1,100
3/1/2016 8:30,104,1,100
3/1/2016 8:45,116,1,100
3/1/2016 9:0,100,1,100
3/1/2016 9:15,88,1,100
3/1/2016 9:30,168,1,100
3/1/2016 9:45,136,1,100
3/1/2016 10:0,244,1,100
3/1/2016 10:15,164,1,100
3/1/2016 10:30,228,1,100
3/1/2016 10:45,288,1,100
3/1/2016 11:0,344,1,100
3/1/2016 11:15,288,1,100
3/1/2016 11:30,360,1,100
3/1/2016 11:45,416,1,100
3/1/2016 12:0,472,1,100
3/1/2016 12:15,416,1,100
3/1/2016 12:30,436,1,100
3/1/2016 12:45,440,1,100
3/1/2016 13:0,440,1,100
3/1/2016 13:15,504,1,100
3/1/2016 13:30,388,1,100
3/1/2016 13:45,452,1,100
3/1/2016 14:0,388,1,100
3/1/2016 14:15,476,1,100
3/1/2016 14:30,388,1,100
3/1/2016 14:45,416,1,100
3/1/2016 15:0,368,1,100
3/1/2016 15:15,328,1,100
3/1/2016 15:30,216,1,100
3/1/2016 15:45,292,1,100
3/1/2016 16:0,280,1,100
3/1/2016 16:15,316,1,100
3/1/2016 16:30,400,1,100
3/1/2016 16:45,332,1,100
3/1/2016 17:0,432,1,100
3/1/2016 17:15,400,1,100
3/1/2016 17:30,472,1,100
3/1/2016 17:45,484,1,100
3/1/2016 18:0,460,1,100
3/1/2016 18:15,428,1,100
3/1/2016 18:30,464,1,100
3/1/2016 18:45,444,1,100
3/1/2016 19:0,420,1,100
3/1/2016 19:15,400,1,100
3/1/2016 19:30,524,1,100
3/1/2016 19:45,532,1,100
3/1/2016 20:0,528,1,100
3/1/2016 20:15,564,1,100
3/1/2016 20:30,492,1,100
3/1/2016 20:45,488,1,100
3/1/2016 21:0,476,1,100
3/1/2016 21:15,480,1,100
3/1/2016 21:30,456,1,100
3/1/2016 21:45,368,1,100
3/1/2016 22:0,296,1,100
3/1/2016 22:15,388,1,100
3/1/2016 22:30,328,1,100
3/1/2016 22:45,368,1,100
3/1/2016 23:0,188,1,100
3/1/2016 23:15,156,1,100
